DATE,PCEDG
2011-01-01,1085.0
2011-02-01,1083.8
2011-03-01,1095.0
2011-04-01,1090.9
2011-05-01,1081.2
2011-06-01,1076.6
2011-07-01,1085.7
2011-08-01,1085.2
2011-09-01,1101.3
2011-10-01,1114.4
2011-11-01,1107.9
2011-12-01,1114.9
2012-01-01,1130.4
2012-02-01,1145.9
2012-03-01,1138.0
2012-04-01,1137.4
2012-05-01,1133.4
2012-06-01,1129.9
2012-07-01,1134.7
2012-08-01,1138.4
2012-09-01,1151.9
2012-10-01,1141.2
2012-11-01,1169.4
2012-12-01,1180.1
2013-01-01,1192.6
2013-02-01,1193.2
2013-03-01,1180.5
2013-04-01,1182.3
2013-05-01,1187.1
2013-06-01,1186.9
2013-07-01,1190.8
2013-08-01,1187.7
2013-09-01,1188.3
2013-10-01,1191.4
2013-11-01,1201.7
2013-12-01,1190.4
2014-01-01,1173.9
2014-02-01,1204.7
2014-03-01,1231.9
2014-04-01,1230.3
2014-05-01,1238.6
2014-06-01,1249.4
2014-07-01,1248.4
2014-08-01,1258.6
2014-09-01,1259.8
2014-10-01,1263.7
2014-11-01,1272.8
2014-12-01,1272.7
2015-01-01,1273.3
2015-02-01,1276.7
2015-03-01,1301.4
2015-04-01,1307.8
2015-05-01,1311.3
2015-06-01,1309.8
2015-07-01,1316.5
2015-08-01,1322.5
2015-09-01,1316.6
2015-10-01,1308.8
2015-11-01,1323.0
2015-12-01,1323.7
2016-01-01,1321.1
2016-02-01,1342.4
2016-03-01,1329.4
2016-04-01,1331.5
2016-05-01,1335.4
2016-06-01,1353.1
2016-07-01,1358.2
2016-08-01,1358.1
2016-09-01,1366.2
2016-10-01,1370.0
2016-11-01,1351.8
2016-12-01,1385.6
2017-01-01,1383.2
2017-02-01,1384.0
2017-03-01,1382.4
2017-04-01,1390.1
2017-05-01,1390.2
2017-06-01,1401.7
2017-07-01,1406.9
2017-08-01,1400.1
2017-09-01,1431.9
2017-10-01,1440.5
2017-11-01,1454.6
2017-12-01,1462.6
2018-01-01,1458.3
2018-02-01,1459.6
2018-03-01,1467.4
2018-04-01,1477.6
2018-05-01,1489.4
2018-06-01,1480.7
2018-07-01,1486.3
2018-08-01,1492.8
2018-09-01,1487.1
2018-10-01,1496.8
2018-11-01,1519.7
2018-12-01,1463.0
2019-01-01,1489.3
2019-02-01,1476.9
2019-03-01,1517.2
2019-04-01,1520.5
2019-05-01,1539.6
2019-06-01,1547.8
2019-07-01,1546.7
2019-08-01,1550.8
2019-09-01,1561.0
2019-10-01,1552.2
2019-11-01,1555.8
2019-12-01,1554.3
2020-01-01,1567.9
2020-02-01,1552.5
2020-03-01,1369.0
2020-04-01,1198.6
2020-05-01,1544.6
2020-06-01,1679.5
