DATE,DFXARC1M027SBEA
2011-01-01,803.3
2011-02-01,807.9
2011-03-01,809.3
2011-04-01,818.6
2011-05-01,813.5
2011-06-01,820.5
2011-07-01,822.2
2011-08-01,825.7
2011-09-01,826.0
2011-10-01,829.8
2011-11-01,831.1
2011-12-01,826.6
2012-01-01,836.7
2012-02-01,837.9
2012-03-01,842.8
2012-04-01,845.1
2012-05-01,845.5
2012-06-01,845.6
2012-07-01,848.1
2012-08-01,845.8
2012-09-01,848.2
2012-10-01,853.1
2012-11-01,852.3
2012-12-01,853.3
2013-01-01,855.6
2013-02-01,863.1
2013-03-01,859.1
2013-04-01,854.3
2013-05-01,859.8
2013-06-01,859.6
2013-07-01,864.8
2013-08-01,865.3
2013-09-01,868.5
2013-10-01,868.4
2013-11-01,871.0
2013-12-01,878.5
2014-01-01,880.5
2014-02-01,882.7
2014-03-01,884.0
2014-04-01,887.7
2014-05-01,891.4
2014-06-01,897.9
2014-07-01,899.4
2014-08-01,902.9
2014-09-01,904.2
2014-10-01,908.7
2014-11-01,910.2
2014-12-01,912.9
2015-01-01,915.8
2015-02-01,917.4
2015-03-01,918.9
2015-04-01,915.3
2015-05-01,916.1
2015-06-01,919.4
2015-07-01,923.5
2015-08-01,922.8
2015-09-01,927.2
2015-10-01,920.0
2015-11-01,926.3
2015-12-01,928.8
2016-01-01,929.0
2016-02-01,935.8
2016-03-01,928.8
2016-04-01,937.6
2016-05-01,941.5
2016-06-01,943.5
2016-07-01,940.3
2016-08-01,941.0
2016-09-01,942.3
2016-10-01,947.8
2016-11-01,945.6
2016-12-01,945.2
2017-01-01,954.1
2017-02-01,954.0
2017-03-01,961.5
2017-04-01,964.2
2017-05-01,963.0
2017-06-01,967.2
2017-07-01,966.4
2017-08-01,972.2
2017-09-01,979.8
2017-10-01,981.7
2017-11-01,984.1
2017-12-01,993.5
2018-01-01,990.7
2018-02-01,990.3
2018-03-01,994.0
2018-04-01,993.2
2018-05-01,1003.4
2018-06-01,993.5
2018-07-01,999.6
2018-08-01,1001.1
2018-09-01,1003.0
2018-10-01,1005.6
2018-11-01,1012.9
2018-12-01,998.2
2019-01-01,1018.9
2019-02-01,1000.3
2019-03-01,1015.9
2019-04-01,1019.7
2019-05-01,1022.1
2019-06-01,1028.3
2019-07-01,1037.3
2019-08-01,1037.8
2019-09-01,1030.4
2019-10-01,1032.1
2019-11-01,1032.6
2019-12-01,1032.6
2020-01-01,1032.7
2020-02-01,1033.3
2020-03-01,1272.7
2020-04-01,1115.6
2020-05-01,1146.8
2020-06-01,1141.2
