DATE,PCEND
2011-01-01,2365.4
2011-02-01,2373.5
2011-03-01,2404.4
2011-04-01,2430.4
2011-05-01,2425.1
2011-06-01,2439.2
2011-07-01,2430.5
2011-08-01,2433.8
2011-09-01,2446.7
2011-10-01,2446.9
2011-11-01,2454.7
2011-12-01,2444.8
2012-01-01,2470.0
2012-02-01,2501.3
2012-03-01,2500.5
2012-04-01,2500.7
2012-05-01,2486.6
2012-06-01,2461.2
2012-07-01,2460.3
2012-08-01,2498.5
2012-09-01,2511.6
2012-10-01,2524.4
2012-11-01,2509.9
2012-12-01,2497.2
2013-01-01,2541.3
2013-02-01,2557.5
2013-03-01,2529.7
2013-04-01,2504.3
2013-05-01,2517.7
2013-06-01,2519.6
2013-07-01,2538.0
2013-08-01,2538.4
2013-09-01,2547.8
2013-10-01,2552.3
2013-11-01,2563.5
2013-12-01,2576.6
2014-01-01,2567.7
2014-02-01,2598.1
2014-03-01,2592.2
2014-04-01,2620.7
2014-05-01,2617.4
2014-06-01,2632.5
2014-07-01,2642.0
2014-08-01,2651.6
2014-09-01,2633.1
2014-10-01,2645.1
2014-11-01,2635.1
2014-12-01,2615.0
2015-01-01,2566.4
2015-02-01,2583.3
2015-03-01,2602.6
2015-04-01,2595.0
2015-05-01,2624.4
2015-06-01,2633.8
2015-07-01,2652.2
2015-08-01,2646.6
2015-09-01,2627.0
2015-10-01,2611.5
2015-11-01,2623.1
2015-12-01,2618.8
2016-01-01,2609.1
2016-02-01,2608.2
2016-03-01,2606.9
2016-04-01,2632.3
2016-05-01,2645.3
2016-06-01,2673.0
2016-07-01,2648.3
2016-08-01,2656.5
2016-09-01,2665.3
2016-10-01,2668.0
2016-11-01,2669.7
2016-12-01,2694.9
2017-01-01,2721.3
2017-02-01,2721.0
2017-03-01,2732.4
2017-04-01,2744.1
2017-05-01,2725.6
2017-06-01,2739.2
2017-07-01,2730.5
2017-08-01,2757.8
2017-09-01,2804.7
2017-10-01,2790.9
2017-11-01,2824.6
2017-12-01,2846.9
2018-01-01,2852.8
2018-02-01,2854.7
2018-03-01,2853.9
2018-04-01,2865.1
2018-05-01,2905.4
2018-06-01,2888.1
2018-07-01,2901.4
2018-08-01,2907.3
2018-09-01,2909.6
2018-10-01,2934.3
2018-11-01,2949.4
2018-12-01,2861.7
2019-01-01,2911.0
2019-02-01,2904.3
2019-03-01,2946.8
2019-04-01,2975.4
2019-05-01,2981.4
2019-06-01,2988.3
2019-07-01,3006.9
2019-08-01,3008.1
2019-09-01,2987.4
2019-10-01,3010.3
2019-11-01,3004.1
2019-12-01,3010.3
2020-01-01,3024.0
2020-02-01,3015.7
2020-03-01,3129.7
2020-04-01,2690.0
2020-05-01,2893.2
2020-06-01,3044.0
