DATE,PCES
2011-01-01,6985.1
2011-02-01,7012.9
2011-03-01,7051.0
2011-04-01,7066.3
2011-05-01,7105.7
2011-06-01,7121.0
2011-07-01,7161.2
2011-08-01,7181.5
2011-09-01,7190.0
2011-10-01,7191.9
2011-11-01,7196.9
2011-12-01,7212.4
2012-01-01,7261.7
2012-02-01,7306.2
2012-03-01,7313.2
2012-04-01,7341.7
2012-05-01,7348.6
2012-06-01,7355.2
2012-07-01,7382.2
2012-08-01,7367.1
2012-09-01,7398.0
2012-10-01,7434.3
2012-11-01,7457.5
2012-12-01,7463.1
2013-01-01,7469.0
2013-02-01,7488.9
2013-03-01,7516.8
2013-04-01,7518.7
2013-05-01,7539.8
2013-06-01,7562.3
2013-07-01,7567.9
2013-08-01,7603.1
2013-09-01,7630.8
2013-10-01,7676.1
2013-11-01,7722.5
2013-12-01,7751.0
2014-01-01,7762.0
2014-02-01,7771.7
2014-03-01,7820.5
2014-04-01,7856.1
2014-05-01,7894.9
2014-06-01,7930.8
2014-07-01,7967.7
2014-08-01,8028.9
2014-09-01,8055.8
2014-10-01,8109.6
2014-11-01,8142.2
2014-12-01,8177.4
2015-01-01,8206.4
2015-02-01,8238.3
2015-03-01,8248.8
2015-04-01,8293.5
2015-05-01,8328.8
2015-06-01,8362.2
2015-07-01,8397.4
2015-08-01,8431.9
2015-09-01,8457.4
2015-10-01,8489.1
2015-11-01,8500.2
2015-12-01,8539.9
2016-01-01,8575.7
2016-02-01,8628.7
2016-03-01,8633.4
2016-04-01,8685.6
2016-05-01,8715.4
2016-06-01,8751.0
2016-07-01,8787.7
2016-08-01,8821.4
2016-09-01,8861.7
2016-10-01,8884.7
2016-11-01,8936.3
2016-12-01,8977.5
2017-01-01,9017.8
2017-02-01,9035.9
2017-03-01,9081.7
2017-04-01,9088.0
2017-05-01,9109.9
2017-06-01,9135.0
2017-07-01,9163.9
2017-08-01,9186.6
2017-09-01,9230.3
2017-10-01,9272.1
2017-11-01,9314.5
2017-12-01,9381.5
2018-01-01,9405.3
2018-02-01,9424.2
2018-03-01,9490.4
2018-04-01,9533.2
2018-05-01,9558.9
2018-06-01,9621.4
2018-07-01,9660.7
2018-08-01,9702.1
2018-09-01,9711.6
2018-10-01,9762.7
2018-11-01,9780.6
2018-12-01,9806.1
2019-01-01,9823.3
2019-02-01,9855.0
2019-03-01,9906.0
2019-04-01,9947.2
2019-05-01,9972.0
2019-06-01,10019.7
2019-07-01,10058.3
2019-08-01,10091.9
2019-09-01,10124.8
2019-10-01,10165.9
2019-11-01,10192.8
2019-12-01,10231.7
2020-01-01,10288.6
2020-02-01,10309.2
2020-03-01,9379.8
2020-04-01,8200.2
2020-05-01,8675.7
2020-06-01,9127.6
